# AGH 过滤明细日志 - 2026-02-26 23:24:02
================================================================================
[白名单] @@||ui.ads.microsoft.com^                     # 父域覆盖: ads.microsoft.com
[黑名单] ||cdn.exmarketplace.com^                      # 父域覆盖: exmarketplace.com
[黑名单] ||cdn.faspox.com^                             # 父域覆盖: faspox.com
[黑名单] ||cdn.getsmartcontent.com^                    # 父域覆盖: getsmartcontent.com
[黑名单] ||cdn.inskinad.com^                           # 父域覆盖: inskinad.com
[黑名单] ||cdn.kaizenplatform.net^                     # 父域覆盖: kaizenplatform.net
[黑名单] ||cdn.laim.tv^                                # 父域覆盖: laim.tv
[黑名单] ||cdn.lr-ingest.io^                           # 父域覆盖: lr-ingest.io
[黑名单] ||cdn.moengage.com^                           # 父域覆盖: moengage.com
[黑名单] ||cdn.nativery.com^                           # 父域覆盖: nativery.com
[黑名单] ||cdn.odoscope.cloud^                         # 父域覆盖: odoscope.cloud
[黑名单] ||cdn.onesignal.com^                          # 父域覆盖: onesignal.com
[黑名单] ||cdn.popupsmart.com^                         # 父域覆盖: popupsmart.com
[黑名单] ||cdn.pranmcpkx.com^                          # 父域覆盖: pranmcpkx.com
[黑名单] ||cdn.retailads.net^                          # 父域覆盖: retailads.net
[黑名单] ||cdn.rlets.com^                              # 父域覆盖: rlets.com
[黑名单] ||cdn.shoplytics.com^                         # 父域覆盖: shoplytics.com
[黑名单] ||cdn.sov.stream^                             # 父域覆盖: sov.stream
[黑名单] ||cdn.stat-track.com^                         # 父域覆盖: stat-track.com
[黑名单] ||cdn.xianliao.me^                            # 父域覆盖: xianliao.me
[黑名单] ||cdn.yektanet.com^                           # 父域覆盖: yektanet.com
[黑名单] ||cdn.yottos.com^                             # 父域覆盖: yottos.com
[黑名单] ||cdn.zarget.com^                             # 父域覆盖: zarget.com
[黑名单] ||cdn1.pebx.pl^                               # 父域覆盖: pebx.pl
[黑名单] ||cdn2.sales-frontier.com^                    # 父域覆盖: sales-frontier.com
[黑名单] ||cdnuz.adviad.com^                           # 父域覆盖: adviad.com
[黑名单] ||channelevents.partnermcafee.com^            # 父域覆盖: partnermcafee.com
[黑名单] ||cinplex.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||clevertapsendgrid.branch.rocks^             # 父域覆盖: branch.rocks
[黑名单] ||click-dsp-east.nativeads.com^               # 父域覆盖: nativeads.com
[黑名单] ||click.jasmin.com^                           # 父域覆盖: jasmin.com
[黑名单] ||click.kmindex.ru^                           # 父域覆盖: kmindex.ru
[黑名单] ||clicks.virtuagirlhd.com^                    # 父域覆盖: virtuagirlhd.com
[黑名单] ||clickserver.googleads.com^                  # 父域覆盖: googleads.com
[黑名单] ||clicktrack.ziyu.net^                        # 父域覆盖: ziyu.net
[黑名单] ||cn.adpinfo.com^                             # 父域覆盖: adpinfo.com
[黑名单] ||cnt.statistic.date^                         # 父域覆盖: statistic.date
[黑名单] ||code.acstat.com^                            # 父域覆盖: acstat.com
[黑名单] ||code.ainsyndication.com^                    # 父域覆盖: ainsyndication.com
[黑名单] ||collect-ap2.attraqt.io^                     # 父域覆盖: attraqt.io
[黑名单] ||collect-eu.attraqt.io^                      # 父域覆盖: attraqt.io
[黑名单] ||collect-v*.51.la^                           # 父域覆盖: 51.la
[黑名单] ||collect.mxapis.com^                         # 父域覆盖: mxapis.com
[黑名单] ||collector-*.perimeterx.net^                 # 父域覆盖: perimeterx.net
[黑名单] ||collector-*.tvsquared.com^                  # 父域覆盖: tvsquared.com
[黑名单] ||collector.bunchbox.co^                      # 父域覆盖: bunchbox.co
[黑名单] ||collector.leaddyno.com^                     # 父域覆盖: leaddyno.com
[黑名单] ||collector.snplow.net^                       # 父域覆盖: snplow.net
[黑名单] ||collector.statowl.com^                      # 父域覆盖: statowl.com
[黑名单] ||collectorj.tvsquared.com^                   # 父域覆盖: tvsquared.com
[黑名单] ||communication.adpinfo.com^                  # 父域覆盖: adpinfo.com
[黑名单] ||communications.adpinfo.com^                 # 父域覆盖: adpinfo.com
[黑名单] ||config.hiido.com^                           # 父域覆盖: hiido.com
[黑名单] ||consent.cookiefirst.com^                    # 父域覆盖: cookiefirst.com
[黑名单] ||content.acc-hd.de^                          # 父域覆盖: acc-hd.de
[黑名单] ||content.zontera.com^                        # 父域覆盖: zontera.com
[黑名单] ||cookie.pebblemedia.be^                      # 父域覆盖: pebblemedia.be
[黑名单] ||core.zontera.com^                           # 父域覆盖: zontera.com
[黑名单] ||counter*.stat.ovh^                          # 父域覆盖: stat.ovh
[黑名单] ||counter.surfcounters.com^                   # 父域覆盖: surfcounters.com
[黑名单] ||counting.kmindex.ru^                        # 父域覆盖: kmindex.ru
[黑名单] ||cpm.applixir.com^                           # 父域覆盖: applixir.com
[黑名单] ||cpm.denakop.com^                            # 父域覆盖: denakop.com
[黑名单] ||cpm.foremedia.net^                          # 父域覆盖: foremedia.net
[黑名单] ||cpm.revbid.net^                             # 父域覆盖: revbid.net
[黑名单] ||cpm.theardent.group^                        # 父域覆盖: theardent.group
[黑名单] ||cpm.vistarsagency.com^                      # 父域覆盖: vistarsagency.com
[黑名单] ||cradver.livejasmin.com^                     # 父域覆盖: livejasmin.com
[黑名单] ||crakrevenue.go2cloud.org^                   # 父域覆盖: go2cloud.org
[黑名单] ||crcom.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||creatives.livejasmin.com^                   # 父域覆盖: livejasmin.com
[黑名单] ||crmpt.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||crmt.livejasmin.com^                        # 父域覆盖: livejasmin.com
[黑名单] ||crpdt.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||crpop.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||crprt.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||crpt.livejasmin.com^                        # 父域覆盖: livejasmin.com
[黑名单] ||crt.livejasmin.com^                         # 父域覆盖: livejasmin.com
[黑名单] ||crtbb.livejasmin.com^                       # 父域覆盖: livejasmin.com
[黑名单] ||crtinf.livejasmin.com^                      # 父域覆盖: livejasmin.com
[黑名单] ||csm.cxpublic.com^                           # 父域覆盖: cxpublic.com
